[ 2025-11-10 16:49:06,880 ] 21 root - INFO - Initiate the data ingestion
[ 2025-11-10 16:49:14,365 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-10 16:49:14,365 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-10 16:49:14,365 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-10 16:49:14,406 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-10 16:49:14,407 ] 23 root - INFO - Data Initiation Completed
[ 2025-11-10 16:49:14,425 ] 27 root - INFO - Initiate the data Validation
[ 2025-11-10 16:49:14,482 ] 32 root - INFO - Required number of columns:2
[ 2025-11-10 16:49:14,482 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-10 16:49:14,483 ] 32 root - INFO - Required number of columns:2
[ 2025-11-10 16:49:14,483 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-10 16:49:14,604 ] 29 root - INFO - data Validation Completed
[ 2025-11-10 16:49:14,604 ] 32 root - INFO - data Transformation started
[ 2025-11-10 16:49:14,604 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-10 16:49:14,604 ] 65 root - INFO - Starting data transformation
[ 2025-11-10 16:49:14,624 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-10 16:49:14,624 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-10 16:49:14,639 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-10 16:49:14,642 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-10 16:49:14,642 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-10 16:49:14,645 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-10 16:49:14,646 ] 36 root - INFO - data Transformation completed
[ 2025-11-10 16:49:14,646 ] 38 root - INFO - Model Training started
