[ 2025-11-11 16:48:07,575 ] 21 root - INFO - Initiate the data ingestion
[ 2025-11-11 16:48:14,950 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-11 16:48:14,950 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-11 16:48:14,950 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-11 16:48:14,990 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-11 16:48:14,991 ] 23 root - INFO - Data Initiation Completed
[ 2025-11-11 16:48:15,008 ] 27 root - INFO - Initiate the data Validation
[ 2025-11-11 16:48:15,067 ] 32 root - INFO - Required number of columns:2
[ 2025-11-11 16:48:15,067 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-11 16:48:15,067 ] 32 root - INFO - Required number of columns:2
[ 2025-11-11 16:48:15,067 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-11 16:48:15,184 ] 29 root - INFO - data Validation Completed
[ 2025-11-11 16:48:15,185 ] 32 root - INFO - data Transformation started
[ 2025-11-11 16:48:15,185 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-11 16:48:15,185 ] 65 root - INFO - Starting data transformation
[ 2025-11-11 16:48:15,204 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-11 16:48:15,204 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-11 16:48:15,217 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-11 16:48:15,220 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-11 16:48:15,220 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-11 16:48:15,223 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-11 16:48:15,224 ] 36 root - INFO - data Transformation completed
[ 2025-11-11 16:48:15,224 ] 38 root - INFO - Model Training started
