[ 2025-11-11 17:11:35,830 ] 21 root - INFO - Initiate the data ingestion
[ 2025-11-11 17:11:42,370 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-11 17:11:42,371 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-11 17:11:42,371 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-11 17:11:42,415 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-11 17:11:42,416 ] 23 root - INFO - Data Initiation Completed
[ 2025-11-11 17:11:42,420 ] 27 root - INFO - Initiate the data Validation
[ 2025-11-11 17:11:42,480 ] 32 root - INFO - Required number of columns:2
[ 2025-11-11 17:11:42,480 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-11 17:11:42,484 ] 32 root - INFO - Required number of columns:2
[ 2025-11-11 17:11:42,484 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-11 17:11:42,602 ] 29 root - INFO - data Validation Completed
[ 2025-11-11 17:11:42,602 ] 32 root - INFO - data Transformation started
[ 2025-11-11 17:11:42,603 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-11 17:11:42,603 ] 65 root - INFO - Starting data transformation
[ 2025-11-11 17:11:42,621 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-11 17:11:42,621 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-11 17:11:42,632 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-11 17:11:42,634 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-11 17:11:42,634 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-11 17:11:42,636 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-11 17:11:42,637 ] 36 root - INFO - data Transformation completed
[ 2025-11-11 17:11:42,637 ] 38 root - INFO - Model Training started
[ 2025-11-11 17:14:31,391 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-11 17:14:31,431 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-11 17:16:43,066 ] 69 root - INFO - MLflow model and metrics successfully tracked.
[ 2025-11-11 17:16:44,266 ] 46 root - INFO - Entered the save_object method of MainUtils class
